date,nav_base,nav_fincap50,rel_fincap50_vs_base
2020-11-05,28887716.025119033,29933953.446569555,1.036217381136701
2020-11-06,28982878.406297304,30061716.54901268,1.037223291889496
2020-11-09,29315575.008167405,30348675.26408227,1.0352406615127638
2020-11-10,29501946.767332576,30434854.946623687,1.0316219192803953
2020-11-11,30093645.331629016,30873679.74380916,1.025920236767073
2020-11-12,29725890.398895655,30600276.163241815,1.0294149562086337
2020-11-13,29774526.945930485,30709856.412243374,1.0314137473287623
2020-11-16,30088919.505706653,31160898.158813685,1.0356270238585243
2020-11-17,30125789.01974112,31258643.866827365,1.0376041552420052
2020-11-18,30290358.119180895,31427072.21497999,1.0375272583878528
2020-11-19,30224986.33535246,31341564.767449297,1.0369422311629248
2020-11-20,30066722.285887305,31212539.001712278,1.0381091329121297
2020-11-23,30173653.480586983,31433162.27405164,1.0417420049671808
2020-11-24,29911719.637792952,31202900.764331747,1.0431663957196031
2020-11-25,29854900.832492627,31097288.375734355,1.0416141909233734
2020-11-26,30000883.69547919,31255841.63771986,1.0418306992213624
2020-11-27,29858186.077507317,31142192.50297559,1.043003497336884
2020-11-30,29540491.446284637,30866276.549079727,1.0448802656247562
2020-12-01,29753134.40922043,31070862.51332945,1.044288715467257
2020-12-02,29750496.496259253,31170842.900211837,1.0477419395044776
2020-12-03,29686555.9071305,31113957.03263,1.0480824090866212
2020-12-04,29885629.359245814,31416996.16219734,1.0512409086167618
2020-12-07,29792084.417441517,31436013.281917293,1.0551800552603614
2020-12-08,29538127.119122207,31398036.931309905,1.0629664096402254
2020-12-09,29434643.264697123,31271166.452982012,1.062393254498435
2020-12-10,29399724.4593968,31144572.736653373,1.0593491370868573
2020-12-11,29572532.479678437,31305170.731458195,1.0585894445452173
2020-12-14,29553502.969707817,31196778.985940665,1.0556034260276081
2020-12-15,29379148.625253357,31017332.7418303,1.0557600949391983
2020-12-16,29720500.58767969,31416528.120684933,1.057065914081821
2020-12-17,29676781.480018836,31320985.23522796,1.0554037086641674
2020-12-18,29539984.861706566,31235021.596713927,1.0573810969417483
2020-12-21,29864933.140084635,31471764.45628626,1.0538032785362221
2020-12-22,29633974.451175716,31229071.96806553,1.0538266481776808
2020-12-23,29537508.019682433,31183495.337072775,1.0557253278202592
2020-12-24,29589074.451175716,31255071.96806553,1.056304482238498
2020-12-25,29715657.305941194,31349324.461463187,1.054976645433159
2020-12-28,29865583.140084635,31527764.45628626,1.0556554113946195
2020-12-29,29849247.895069946,31528560.32904502,1.0562597905273332
2020-12-30,30362597.459025983,32025503.30546823,1.0547682341303746
2020-12-31,30247795.790739097,32023423.31582209,1.0587027080375435
2021-01-04,30243921.338964175,32145448.690024514,1.0628730424784745
2021-01-05,30305355.20161034,32249695.072435755,1.0641582934069058
2021-01-06,30079719.678898375,32218264.103004843,1.0710958894210276
2021-01-07,30319581.741273943,32610294.27624882,1.0755522472084942
2021-01-08,30661857.86133575,33041519.717159785,1.077609839122787
2021-01-11,30730448.458685588,33200119.93801497,1.0803656179196226
2021-01-12,30439101.666993648,32986617.395890363,1.0836922113131575
2021-01-13,30647581.853812635,33352291.90028727,1.088251988668338
2021-01-14,30611103.40117896,33258702.42494112,1.0864914599471833
2021-01-15,30320558.47581683,33095021.08183676,1.0915043371721795
2021-01-18,30232846.094638564,32998185.545895882,1.0914680491079443
2021-01-19,30324834.015820827,33330355.92760134,1.099110910556427
2021-01-20,29919123.718171913,33015597.461706564,1.1034948006065415
2021-01-21,30051464.31552175,33463115.501940247,1.113526953315761
2021-01-22,29813420.163283773,33129302.32768483,1.1112211261318041
2021-01-25,29892340.262383148,33103329.9407842,1.1074184774499505
2021-01-26,29712122.839451347,32728068.58214906,1.1015055625272652
2021-01-27,29675784.92649017,32739648.969031446,1.103244583087887
2021-01-28,29482930.58203571,32419452.72492108,1.0996007549084903
2021-01-29,29161882.6617033,31989964.72703985,1.096978720411989
2021-02-01,29420795.04288157,32401810.50313073,1.1013234161722771
2021-02-02,29588935.632010326,32806396.370712563,1.108738644022784
2021-02-03,29733025.523840006,32888962.8998605,1.10614249039305
2021-02-04,29686944.32914033,32760189.627521142,1.1035217792814114
2021-02-05,29793999.673254393,32968821.367861744,1.106559096778716
2021-02-17,30395991.216928795,33773266.34948014,1.1111092284653115
2021-02-18,30441945.56138325,33783012.5935905,1.1097520861625059
2021-02-19,30387288.834900666,33671165.4842244,1.1080674444885688
2021-02-22,30360514.677265193,33623506.24763531,1.1074748437256743
2021-02-23,30719869.30763802,33861717.112366326,1.1022741266658689
2021-02-24,30646754.544431623,33638970.471019715,1.0976356541195897
2021-02-25,30886060.190906223,33954568.36915665,1.0993492908866986
2021-02-26,30473655.926800143,33234185.840045206,1.090587421472371
2021-03-02,30459591.49462607,33342149.466299176,1.094635477044453
2021-03-03,30732131.37823467,33620445.01946352,1.093983512099471
2021-03-04,30561876.034120604,33327139.78558742,1.0904808248151898
2021-03-05,30486327.042001296,33285463.181611624,1.0918161159838615
2021-03-08,30482810.610508014,33278825.445429873,1.0917243121261928
2021-03-09,30918024.635309912,33598805.72205636,1.0867060919436897
