date,nav_base,nav_sleeve_fin_only_a10,rel_sleeve_vs_base
2020-07-20,29815543.011858262,29797740.83689939,0.9994029230005372
2020-07-21,30029291.56185826,29990484.936899386,0.9987077076101202
2020-07-22,30080013.361858264,30060711.236899387,0.9993583073010416
2020-07-23,30007237.21185826,29991389.936899386,0.9994718849040654
2020-07-24,29760181.21185826,29740830.586899385,0.9993497813463862
2020-07-27,29682783.311858263,29655364.736899387,0.999076280190075
2020-07-28,29792272.01284389,29758649.849043384,0.9988714468038554
2020-07-29,29915062.26284389,29910769.849043388,0.9998565132921073
2020-07-30,30119502.462843884,30114458.099043384,0.9998325216757241
2020-07-31,30093457.51284389,30077513.099043388,0.9994701700928285
2020-08-03,29846532.362843886,29823950.049043383,0.9992433856795835
2020-08-04,29940301.162843887,29924173.749043386,0.9994613476426711
2020-08-05,30078541.362843886,30063061.999043386,0.9994853685352036
2020-08-06,30381000.312843885,30344942.199043386,0.9988131360577599
2020-08-07,30344674.212843888,30300989.449043386,0.9985603811893288
2020-08-10,30298321.01284389,30276156.249043386,0.9992684491067638
2020-08-11,30136580.112843886,30121987.349043388,0.9995157790384358
2020-08-12,30073679.812843885,30052723.949043382,0.9993031825858719
2020-08-13,30396623.276943885,30322404.454643387,0.9975583201586475
2020-08-14,30188615.235954385,30116825.535270136,0.997621961122657
2020-08-17,30218250.635954387,30160247.135270137,0.9980805142765201
2020-08-18,30272914.685954385,30199424.485270135,0.9975724108019784
2020-08-19,30151186.835954387,30085548.785270136,0.9978230359208952
2020-08-20,29605190.685954385,29545760.385270137,0.9979925715961545
2020-08-21,29878084.785954386,29820921.885270137,0.9980867950173593
2020-08-24,29703466.335954387,29657415.135270134,0.9984496354680157
2020-08-25,29746980.933038633,29691650.005688388,0.998139948135416
2020-08-26,29818600.513674386,29760134.355688386,0.9980392722334777
2020-08-27,29719789.486630633,29656133.755688384,0.9978581365466641
2020-08-28,29716065.636630632,29659730.455688387,0.9981042180471966
2020-08-31,29265038.336630635,29248693.305688385,0.9994414826745062
2020-09-01,29287475.586630635,29258987.955688387,0.9990273101258597
2020-09-02,29184830.686630636,29150462.455688387,0.9988223940268397
2020-09-03,29199976.786630634,29156425.005688388,0.9985084994669521
2020-09-04,28937198.436630636,28904557.355688386,0.9988720027263962
2020-09-07,29142727.836630635,29093518.005688388,0.9983114198774353
2020-09-08,29255864.536630634,29196061.605688386,0.9979558651952545
2020-09-09,29107481.736630633,29055655.455688387,0.9982194859242315
2020-09-10,29194086.286630634,29136628.905688386,0.9980318828827823
2020-09-11,29222245.786630634,29159532.80568839,0.9978539301393825
2020-09-14,29268500.736630633,29205313.255688388,0.9978411097476146
2020-09-15,29319487.003758013,29252099.494472012,0.9977016136306421
2020-09-16,29399469.16571451,29344276.044472013,0.9981226490542604
2020-09-17,29182655.265714508,29126592.744472012,0.998078909518958
2020-09-18,29282192.61571451,29208372.34447201,0.9974790046561307
2020-09-21,29007669.215714507,28939035.14447201,0.9976339336079676
2020-09-22,28737556.36571451,28660694.84447201,0.9973253981561843
2020-09-23,28546443.11571451,28457897.544472013,0.9968981925039287
2020-09-24,27938214.41571451,27863615.94447201,0.9973298769158082
2020-09-25,28270495.99421826,28186785.844472013,0.9970389571600241
2020-09-28,28664570.574715383,28598683.744472012,0.9977014541323187
2020-09-29,28621256.124715384,28557015.567897633,0.9977554948483802
2020-09-30,28551702.624715384,28493085.117897633,0.9979469698326499
2020-10-05,28639434.374715384,28575848.267897636,0.9977797708576994
2020-10-06,28875088.374715384,28810420.667897634,0.9977604325923249
2020-10-07,28769532.924715385,28721198.267897632,0.9983199359911669
2020-10-08,28856105.574715387,28809914.517897636,0.9983992622740393
2020-10-12,28923441.774715386,28884716.167897634,0.9986610996326306
2020-10-13,28697961.724715386,28681119.517897636,0.9994131218454011
2020-10-14,28654012.774715386,28628762.517897636,0.9991187881077505
2020-10-15,28489891.574715383,28453496.267897636,0.9987225185914695
2020-10-16,28365836.124715384,28329723.867897633,0.998726910193693
2020-10-19,28453144.974715386,28424141.767897632,0.9989806678016252
2020-10-20,28397527.274715386,28363105.96789763,0.9987878766173982
2020-10-21,28321589.524715386,28299869.367897633,0.9992330883547762
2020-10-22,28512458.374715384,28496083.117897633,0.9994256806409835
2020-10-23,28458886.124715384,28432523.867897633,0.9990736722195583
2020-10-26,28586730.813380636,28557587.017897636,0.9989805131732881
2020-10-27,28508576.263380636,28476013.567897633,0.9988577929959683
2020-10-28,28467603.613380637,28432797.317897636,0.9987773366541243
2020-10-29,28187644.013380636,28160708.467897635,0.9990444201200279
2020-10-30,28117726.713380635,28094429.667897634,0.9991714463363102
2020-11-02,28496590.063380636,28464461.917897634,0.9988725617552295
2020-11-03,28660130.663380638,28630592.967897635,0.9989693802924373
2020-11-04,28673048.513380636,28647872.817897633,0.9991219735330461
2020-11-05,28884340.013380636,28862252.817897633,0.9992353228263907
2020-11-06,28977702.363380637,28974351.167897634,0.9998843526156429
2020-11-09,29310491.263380636,29287215.717897635,0.9992058971214829
2020-11-10,29497155.013380636,29469954.96789763,0.999077875630017
2020-11-11,30088658.46338064,30033938.817897636,0.9981813863336713
2020-11-12,29721054.363380637,29666781.467897635,0.9981739242888411
2020-11-13,29769852.26338064,29728558.604939885,0.9986129034811655
2020-11-16,30084011.863380637,30033797.454939883,0.9983308606355831
2020-11-17,30121925.18995939,30065167.004939884,0.9981157185451605
2020-11-18,30285520.73995939,30235028.504939888,0.9983327929061203
2020-11-19,30220253.43995939,30163749.704939883,0.9981302693198201
2020-11-20,30061112.18995939,30014982.654939882,0.9984654747725896
2020-11-23,30168752.289959386,30127371.754939884,0.9986283643877021
2020-11-24,29905980.199896384,29869104.704939883,0.9987669524720467
2020-11-25,29849320.299896386,29813293.804939885,0.9987930547632394
2020-11-26,29995439.299896386,29952701.604939885,0.998575193564288
2020-11-27,29853057.549896386,29808588.454939883,0.9985104006555383
2020-11-30,29537351.049896386,29483773.054939885,0.9981860934358673
2020-12-01,29747978.649896383,29716969.754939884,0.9989576133786621
2020-12-02,29745905.349896386,29719767.504939888,0.9991212960355705
2020-12-03,29682278.149896387,29655127.804939885,0.999085301174681
2020-12-04,29882324.349896386,29842475.304939885,0.9986664676920743
2020-12-07,29787496.499896385,29762499.604939885,0.9991608259204802
2020-12-08,29534709.849896386,29515615.104939885,0.9993534812072458
2020-12-09,29430501.549896386,29413723.264985386,0.9994299014958153
2020-12-10,29395641.649896383,29382812.364985388,0.9995635650664206
2020-12-11,29566735.499896385,29581744.864985388,1.0005076436351608
2020-12-14,29547909.999896385,29549734.16498539,1.00006173584152
2020-12-15,29374527.199896384,29374778.014985386,1.000008538523439
2020-12-16,29715891.749896385,29712847.314985387,0.9998975485933042
2020-12-17,29671878.349896386,29671755.964985386,0.9999958753905109
2020-12-18,29534003.749896385,29556631.714985386,1.0007661665272551
2020-12-21,29859839.399896383,29847494.814985387,0.9995865823407262
2020-12-22,29628223.799896386,29636382.514985386,1.000275369699652
2020-12-23,29531564.299896386,29541328.614985388,1.0003306399549257
2020-12-24,29583023.799896386,29589382.514985386,1.0002149447308704
2020-12-25,29710274.949896384,29699810.464985386,0.9996477822932085
2020-12-28,29860489.399896383,29847094.814985387,0.9995514278171528
2020-12-29,29843852.149896383,29837400.16498539,0.9997838085754283
2020-12-30,30357562.749896385,30336322.91498539,0.9993003445274582
2020-12-31,30242283.849896386,30235154.214985386,0.9997642494546249
2021-01-04,30238730.499896385,30228767.814985387,0.9996705323025703
2021-01-05,30300106.649896383,30296014.514985386,0.9998649465179024
