date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a05,nav_blend_e45_a10,nav_blend_e45_a15,nav_blend_e45_a20,nav_blend_e45_a25,nav_blend_e45_a30,nav_blend_e45_a35,nav_blend_e45_a40,nav_blend_e45_a45,nav_blend_e45_a50,nav_blend_e45_a55,nav_blend_e45_a60,nav_blend_e45_a65,nav_blend_e45_a70,nav_blend_e45_a75,nav_blend_e45_a80,nav_blend_e45_a85,nav_blend_e45_a90,nav_blend_e45_a95,nav_chal_e45_e3
2023-02-23,7883047.044578368,7865571.151507949,7797508.442049976,7765807.957744413,7736708.617019109,7723544.841576503,7721358.3637134405,7741013.514019783,7747314.314092937,7752294.62754781,7738137.6246263,7718710.192079237,7692592.976363386,7657220.640847487,7611932.758120945,7602202.86509627,7542362.684886898,7496111.392209082,7449453.078524535,7407345.536724938,7356787.818315022
2023-02-24,7848981.066605049,7824333.931222242,7752922.110164925,7718735.237217399,7687514.470260098,7672997.228038058,7669902.681453518,7689107.273553872,7695791.290098037,7700754.930225262,7686800.6076491345,7667685.435019424,7642080.722968192,7607255.97956917,7562568.535750393,7553174.67362646,7493952.9662971,7448234.951331418,7402110.724994649,7360482.743055249,7310476.2998785535
2023-03-01,7848046.366605049,7830021.281222243,7761245.860164925,7726430.961610308,7690052.736256525,7673044.898659591,7667898.031453518,7684458.673553871,7686879.340098036,7689310.430225262,7673586.307649135,7653051.335019424,7626215.722968192,7590830.229569171,7545749.035750394,7536020.3236264605,7476691.816297101,7431025.951331418,7384908.62499465,7343314.693055248,7293348.199878554
2023-03-02,7835877.504593158,7804819.155442507,7729343.209389559,7691293.471970035,7652579.457768977,7633677.16744324,7627284.452393725,7644902.090508443,7650813.821841374,7655038.550507965,7640966.0983956,7622071.815529125,7596820.201020162,7562341.669196805,7518077.932922265,7508889.606588353,7450141.9130816,7404875.316013851,7359190.613138631,7317979.702824639,7268440.998880585
2023-03-03,7846629.960650393,7811051.197633756,7733045.154347143,7695368.429657266,7658360.244388412,7640303.917588665,7634392.10680213,7652403.95950971,7658997.749325951,7663635.728321412,7649835.157891173,7631115.218836687,7605985.6261757305,7571542.886416247,7527259.458427265,7518075.167997252,7459262.228103708,7413921.403606003,7368174.071808655,7326882.91770748,7277257.743861709
2023-03-06,7893924.058444249,7858285.3445653245,7780314.396078235,7741353.801444154,7702883.088279838,7684023.680056026,7677936.951275514,7696249.085482869,7703413.754290715,7708242.402042598,7694519.617201843,7675876.178381493,7650745.711180095,7616079.956176264,7571472.598407992,7562143.123337619,7502866.384583246,7457114.763212591,7410960.970307367,7369301.981341938,7319251.202576753
2023-03-07,7939559.827184668,7902241.721839884,7823231.338634946,7785167.13995126,7748272.764479638,7730246.229618481,7724208.944214232,7742022.055436014,7747627.977448087,7751642.523722019,7737009.119086891,7717387.33355034,7691291.050634505,7655977.373994494,7610726.326058456,7600991.625496816,7541143.103149991,7494936.941894642,7448329.654309891,7406227.173667155,7355691.889911235
2023-03-08,7912164.625423177,7883093.239261922,7807975.983689085,7772075.539989606,7738445.493312267,7722419.474341736,7717517.305984898,7735831.0044753095,7741356.99221209,7745474.777487591,7730825.501797071,7711084.102794872,7684864.636574962,7649531.431492844,7604297.351836523,7594582.307060242,7534794.100664222,7488642.383943924,7442079.484034665,7400028.504531979,7349555.251365481
2023-03-09,7873545.529105907,7841201.363190745,7765399.198159854,7730933.094529223,7699498.992493584,7684745.112676743,7680475.410634662,7699330.609492617,7705583.923002602,7710258.000477226,7696119.800846989,7676814.275182989,7650995.1193462275,7616068.916824278,7571204.590037615,7561685.992424509,7502321.382156509,7456500.950738556,7410283.889753327,7368543.916618094,7318399.045346912
2023-03-10,7801082.241003009,7768991.8518840475,7693643.863933918,7657990.594529222,7625253.392493584,7609841.412676744,7605267.610634662,7623598.709492616,7629184.823002602,7633573.000477226,7619421.900846989,7600240.47518299,7574676.019346228,7540213.716824278,7495978.690037615,7486754.392424508,7428205.582156508,7383087.350738556,7337568.689753327,7296490.216618095,7247091.945346911
