book,kind,mode,cut,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
BLEND_E45_A05,ref_e45,,,1,full,0.13365973293663336,-0.21840933817863817,0.024455063847314273,0.12820091869049402,3351,6175,400183.75862767885,2.233277734222544,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,2,heldout_2019_plus,0.1666225186261947,-0.2195895397377089,0.05682774875734026,0.14438830531421548,1856,6158,763092.3348075293,2.225674480040662,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,2,sealed_2023_plus,0.227777228692859,-0.11765085965436062,0.16895179886567868,0.1560277349358653,879,6158,763092.3348075293,2.225674480040662,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,2,full,0.12747059071537215,-0.219589539737709,0.017675820846517643,0.12845945850758175,3351,6158,763092.3348075293,2.225674480040662,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,3,heldout_2019_plus,0.1608044517377505,-0.22125479241404267,0.05017705553072915,0.1447059478955133,1856,6132,1090070.964962673,2.215592797383246,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,3,sealed_2023_plus,0.2201710095388436,-0.12199725724913768,0.15917238091427477,0.1564607940757125,879,6132,1090070.964962673,2.215592797383246,0.9953398647195717,True
BLEND_E45_A05,ref_e45,,,3,full,0.12127825872562359,-0.22125479241404278,0.0106508625186022,0.12866666820621284,3351,6132,1090070.964962673,2.215592797383246,0.9953398647195717,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,heldout_2019_plus,0.17554478994959566,-0.21557587762119024,0.06775685113900054,0.1419286618566708,1856,6221,0.0,2.273504523631205,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,sealed_2023_plus,0.23826298955566005,-0.10287691470600402,0.18682453220265804,0.15253593700888357,879,6221,0.0,2.273504523631205,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,0,full,0.1386359084058857,-0.21557587762119035,0.030847969595290514,0.12657154141525856,3351,6221,0.0,2.273504523631205,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,heldout_2019_plus,0.16950506384767983,-0.21631369757721874,0.061348215059070454,0.1421564301688598,1856,6231,405612.14461244736,2.265940532357012,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,sealed_2023_plus,0.2308759270765437,-0.10668667532308351,0.17753258941500194,0.152890780851977,879,6231,405612.14461244736,2.265940532357012,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,1,full,0.1322897123616964,-0.21631369757721863,0.024132863573087082,0.12671460833615547,3351,6231,405612.14461244736,2.265940532357012,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,heldout_2019_plus,0.16338992306149502,-0.21731457010859734,0.054732638007196355,0.14237730592799724,1856,6176,772298.401499703,2.2583892035879405,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,sealed_2023_plus,0.22333481257167853,-0.11046840688359183,0.16810060912988262,0.1532450816188118,879,6176,772298.401499703,2.2583892035879405,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,2,full,0.12586712657279775,-0.21731457010859723,0.017209841518499136,0.1268603581290059,3351,6176,772298.401499703,2.2583892035879405,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,3,heldout_2019_plus,0.15737435913779563,-0.21848920658458648,0.04812975584550239,0.14262895810933304,1856,6187,1106138.437127895,2.2557920286839734,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,3,sealed_2023_plus,0.21610422410288366,-0.11411031361615487,0.15904906729480622,0.15360616849830333,879,6187,1106138.437127895,2.2557920286839734,0.9906797294391435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,3,full,0.11954547050418252,-0.21848920658458648,0.010300867211889275,0.12703634068177902,3351,6187,1106138.437127895,2.2557920286839734,0.9906797294391435,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,heldout_2019_plus,0.1331729282025822,-0.1700454258912003,0.04815021525698204,0.10736021262946795,1856,11273,0.0,3.667908127248578,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,sealed_2023_plus,0.15647625185400593,-0.0750406054113456,0.11895594914833313,0.10996210568309533,879,11273,0.0,3.667908127248578,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,0,full,0.11084538835162605,-0.1700454258912003,0.025822675406025897,0.09846156404287063,3351,11273,0.0,3.667908127248578,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,1,heldout_2019_plus,0.12201482525987495,-0.17188536523070275,0.036072142644523575,0.10737821824692609,1856,11300,590274.6200734263,3.652030667183624,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,1,sealed_2023_plus,0.1424202361275002,-0.07857572076987185,0.10313237574256429,0.10994824402945555,879,11300,590274.6200734263,3.652030667183624,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,1,full,0.10008912051367225,-0.17188536523070286,0.014146437898320818,0.0984684137145034,3351,11300,590274.6200734263,3.652030667183624,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,heldout_2019_plus,0.1110464526125381,-0.17373415726721375,0.024179373978931218,0.10740552411879381,1856,11293,1094120.5905126845,3.6355268526817213,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,sealed_2023_plus,0.12852558549800386,-0.08571179125656347,0.08566968986972212,0.10995506128540122,879,11293,1094120.5905126845,3.6355268526817213,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,2,full,0.08945399901850903,-0.17373415726721375,0.0025869203849021583,0.09848870818166001,3351,11293,1094120.5905126845,3.6355268526817213,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,3,heldout_2019_plus,0.10025915429861731,-0.1755965709510342,0.012460868823100213,0.10748191485043018,1856,11306,1524454.7486329293,3.6249226236814707,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,3,sealed_2023_plus,0.11504582604811531,-0.09352421951200218,0.06828371629211422,0.11005668526569584,879,11306,1524454.7486329293,3.6249226236814707,0.8436083470317145,True
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,3,full,0.07890921366108139,-0.1755965709510342,-0.008889071814435712,0.09854284156954238,3351,11306,1524454.7486329293,3.6249226236814707,0.8436083470317145,True
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,heldout_2019_plus,0.17160733277193607,-0.2071035622434192,0.06805555165022648,0.13842334751988433,1856,11083,0.0,4.028515734842267,1.0,True
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,sealed_2023_plus,0.23519240174677236,-0.12190565043030177,0.17423957653162148,0.1506153465047716,879,11083,0.0,4.028515734842267,1.0,True
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,0,full,0.13722529563385555,-0.2071035622434193,0.0336735145121459,0.12380208721473476,3351,11083,0.0,4.028515734842267,1.0,True
M2_RELOC_TEL_C50,m2_reloc_tel,RELOC_TEL,0.5,1,heldout_2019_plus,0.15939898946891762,-0.2093649020442726,0.054716538446781315,0.13850298288871865,1856,11001,710081.5112758118,3.9875254576618993,1.0,True
