id,mode,assist,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
KD+BOTH__D9_LT20__MFI14_GT80,KD+BOTH,D9_LT20+MFI14_GT80,-1.427598168380395,-0.1615491058400309,2.5320981250807284,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.9682350259603187,4872,0.11899707380443036,-0.22548271389979713
KD+BOTH__CCI20_LT_N100__RSI6_GT80,KD+BOTH,CCI20_LT_N100+RSI6_GT80,-1.4792925202332108,-1.0713740987688514,0.8158368429287188,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.0199293778131344,4457,0.1325333232842838,-0.23458096382908533
KD+BOTH__K9_LT20__ABOVE_MA20,KD+BOTH,K9_LT20+ABOVE_MA20,-1.5241867432790657,-0.3349425761019931,2.378488334354145,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.0648236008589893,5820,0.12622303887377728,-0.22721664860241675
KD+BOTH__K9_LT20__MACD_HIST_POS,KD+BOTH,K9_LT20+MACD_HIST_POS,-1.5253078071302495,-0.22834851747876028,2.5939185793029784,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.065944664710173,5806,0.12524211299829768,-0.22615070801618453
KD+BOTH__D9_LT20__WILLR14_GT_N20,KD+BOTH,D9_LT20+WILLR14_GT_N20,-1.5333245723177957,0.5183095416254613,4.103268227886514,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.0739614298977194,6286,0.11333652503940428,-0.21868412742514232
KD+BOTH__D9_LT20__K9_GT70,KD+BOTH,D9_LT20+K9_GT70,-1.671682374832295,0.3846183922411761,4.112601534146942,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.2123192324122187,6330,0.11242342436869679,-0.22002103891898495
KD+BOTH__K9_LT20__WILLR14_GT_N20,KD+BOTH,K9_LT20+WILLR14_GT_N20,-1.688129110118819,-0.21462087174719535,2.947016476743247,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.2287659676987426,5571,0.12349851163120151,-0.22601343155886866
KD+BOTH__D9_LT20__MACD_HIST_POS,KD+BOTH,D9_LT20+MACD_HIST_POS,-1.7017783291175759,0.450228440440692,4.304013539116536,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.2424151866974995,6544,0.11164761366579157,-0.2193649384369899
KD+BOTH__MFI14_LT20__ROC10_GT5,KD+BOTH,MFI14_LT20+ROC10_GT5,-1.7428039194292921,-0.1924757286531742,3.100656381552236,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.2834407770092158,5980,0.1249331996849461,-0.22579198012792856
KD+BUY_AND_BELOW_MA120,KD+BUY_AND_LOW,BELOW_MA120,-1.7544339106340567,0.46617562410260494,4.441219069473323,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.2950707682139804,5960,0.11771498899793542,-0.21920546660037077
KD+BUY_AND_BB_LOWER,KD+BUY_AND_LOW,BB_LOWER,-1.7667394806767378,0.7166756621292847,4.966830285612045,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.3073763382566614,6918,0.11448333368056063,-0.21670046622010397
KD+BUY_AND_BB_PCTB_LT0,KD+BUY_AND_LOW,BB_PCTB_LT0,-1.7667394806767378,0.7166756621292847,4.966830285612045,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.3073763382566614,6918,0.11448333368056063,-0.21670046622010397
KD+BOTH__D9_LT20__ABOVE_MA20,KD+BOTH,D9_LT20+ABOVE_MA20,-1.7694217584222294,0.4449539414234427,4.428751399691344,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.310058616002153,6522,0.11085303672223201,-0.2194176834271624
KD+BOTH__MFI14_LT20__ABOVE_MA60,KD+BOTH,MFI14_LT20+ABOVE_MA60,-1.8013022742596863,-0.15565375540365078,3.291297037712071,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.34193913183961,6931,0.12386479339779544,-0.22542376039543333
KD+BOTH__K9_LT20__ABOVE_MA60,KD+BOTH,K9_LT20+ABOVE_MA60,-1.8395237304629664,-0.6096269143196276,2.4597936322866776,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.38016058804289,5910,0.1259954870010478,-0.2299634919845931
KD+BOTH__CCI20_LT_N100__WILLR14_GT_N20,KD+BOTH,CCI20_LT_N100+WILLR14_GT_N20,-1.8453314824958378,-0.4508520504201252,2.788958864151425,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.3859683400757614,5561,0.12304959012811323,-0.22837574334559807
KD+BOTH__CCI20_LT_N100__MACD_HIST_POS,KD+BOTH,CCI20_LT_N100+MACD_HIST_POS,-2.038038873422343,-0.7904824680573963,2.4951128107298937,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.5786757310022668,5758,0.12453409922901693,-0.2317720475219709
KD+BOTH__D9_LT20__BIAS20_GT5,KD+BOTH,D9_LT20+BIAS20_GT5,-2.0645760582478245,-0.41696158104292946,3.29522895440979,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.605212915827748,4493,0.11796941706728137,-0.22803683865182622
KD+BOTH__MFI14_LT20__ABOVE_MA20,KD+BOTH,MFI14_LT20+ABOVE_MA20,-2.0819121866858303,-0.3062606762864184,3.551303020798824,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.622549044265754,6784,0.12225782703628507,-0.2269298296042611
KD+BOTH__CCI20_LT_N100__K9_GT80,KD+BOTH,CCI20_LT_N100+K9_GT80,-2.183846389590993,-0.7182590035658021,2.9311747720503822,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.724483247170917,5205,0.12269152759697444,-0.23104981287705495
KD+BOTH__D9_LT20__ABOVE_MA60,KD+BOTH,D9_LT20+ABOVE_MA60,-2.290547336160853,-0.2740019252916004,4.033090821738505,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8311841937407767,6551,0.11390908038884917,-0.2266072420943127
KD+BOTH__MACD_HIST_NEG__WILLR14_GT_N20,KD+BOTH,MACD_HIST_NEG+WILLR14_GT_N20,-2.3026943640594877,-1.1239675216213607,2.357453684876254,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8433312216394113,4560,0.12914187876303584,-0.23510689805761031
KD+BOTH__CCI20_LT_N100__K9_GT70,KD+BOTH,CCI20_LT_N100+K9_GT70,-2.3266511956729463,-1.1050506550529748,2.443201081239943,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.86728805325287,5603,0.1261228960019587,-0.23491772939192646
KD+BUY_AND_MFI14_LT20,KD+BUY_AND_LOW,MFI14_LT20,-2.3307879624516747,-0.3680488282742811,3.9254782683547873,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8714248200315984,7503,0.1191295230475411,-0.22754771112413963
KD+BOTH__BB_LOWER__RSI14_GT70,KD+BOTH,BB_LOWER+RSI14_GT70,-2.333075814664576,-1.3898435240619178,1.886464581205316,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-2.8737126722444994,4365,0.1303696255124478,-0.23776565808201588
