date,nav_base,nav_blend_e45_a25,rel_blend_vs_base
2021-05-24,1041695106.347077,1034312843.4565743,0.9929132211090151
2021-05-25,1045459302.3470771,1039481298.7565744,0.9942819356266839
2021-05-26,1048173271.8470771,1041117346.0565743,0.9932683593638398
2021-05-27,1051806225.747077,1042723626.6565744,0.9913647600972779
2021-05-28,1052899357.047077,1045939324.1565744,0.9933896503555455
2021-05-31,1057143300.3470771,1050089705.2565744,0.9933276831171451
2021-06-01,1058017432.2470771,1052116242.0565743,0.9944224074097064
2021-06-02,1063530561.447077,1057238004.6565744,0.9940833324225862
2021-06-03,1062141395.147077,1055594934.5565743,0.9938365450961488
2021-06-04,1059012144.1470771,1053961408.9565744,0.9952307107917346
2021-06-07,1056476448.6470771,1051605676.2565743,0.9953896062740061
2021-06-08,1060635489.0916616,1054995679.5972496,0.9946826128746249
2021-06-09,1055522178.3916614,1050660688.6972495,0.995394232547705
2021-06-10,1061199731.5916616,1054724215.8972496,0.9938979293891268
2021-06-11,1057999359.6257548,1053620974.8320469,0.9958616375767404
2021-06-15,1058265469.5306289,1053855152.811165,0.9958325043701747
2021-06-16,1062073235.0189141,1056937448.2010579,0.9951643760067405
2021-06-17,1057399231.818914,1053811371.0010579,0.9966069004876384
2021-06-18,1049750692.2329665,1045903392.2029281,0.9963350345386724
2021-06-21,1045557305.2248083,1044332222.8220232,0.9988282972184659
2021-06-22,1049225478.0248082,1045634061.422023,0.9965770783515989
2021-06-23,1054907795.8248082,1052002529.7220231,0.997245952571131
2021-06-24,1054724607.2248082,1050825374.0220232,0.9963030793288832
2021-06-25,1062603811.9248081,1057485499.422023,0.995183235326896
2021-06-28,1064431755.2248082,1059251189.4635732,0.9951330221634164
2021-06-29,1058368578.8904086,1054884375.9593589,0.9967079493849841
2021-06-30,1063005094.9986528,1059967395.8593589,0.9971423475262856
2021-07-01,1057356635.398653,1054098444.659359,0.9969185508179408
2021-07-02,1055259495.7986529,1052125913.359359,0.9970305100766497
2021-07-05,1061377034.6986527,1058650091.259359,0.9974307495356087
2021-07-06,1068304491.098653,1062520145.659359,0.9945854899165075
2021-07-07,1067473711.4487144,1060806296.3473594,0.9937540240758657
2021-07-08,1067403027.7487144,1061065466.4473596,0.994062635071664
2021-07-09,1069720629.2487142,1063805464.6473596,0.9944703650283823
2021-07-12,1073646196.9315727,1065551446.2869107,0.9924605045239331
2021-07-13,1082899684.796613,1072837386.0869106,0.9907080047663027
2021-07-14,1081392669.2634704,1073224157.0869106,0.9924463033560942
2021-07-15,1082803858.6923342,1073326436.5538985,0.9912473325040776
2021-07-16,1086618495.90442,1076347575.4976015,0.9905478137492316
2021-07-19,1089837265.40442,1078371222.7976015,0.9894791241125678
2021-07-20,1081447968.40442,1069598491.8976017,0.989042952732806
2021-07-21,1085599381.5062547,1073637909.7730615,0.988981688883613
2021-07-22,1098125618.1467283,1082709071.275217,0.9859610352251601
2021-07-23,1098041169.9776764,1083571838.1752172,0.986822596275918
2021-07-26,1093173474.4776764,1078656055.475217,0.9867199311532913
2021-07-27,1095593645.2899287,1080768754.4611924,0.9864686228398001
2021-07-28,1092996939.3899288,1077955203.0611925,0.9862380801019149
2021-07-29,1098343372.9899287,1082556818.8611925,0.9856269409758791
2021-07-30,1092067901.9899287,1077251173.3611925,0.9864324108402621
2021-08-02,1099722558.1899288,1084313546.9611924,0.9859882739387481
2021-08-03,1101133670.0899289,1086483263.8611925,0.9866951609721099
2021-08-04,1103841545.5899289,1088605826.6611924,0.9861975489239319
2021-08-05,1109313550.2899287,1093216302.0611925,0.9854890006305891
2021-08-06,1109275074.2899287,1091979066.6611924,0.9844078281126006
2021-08-09,1110829120.4899287,1092569902.7611926,0.9835625323535964
2021-08-10,1106137553.1899288,1088900157.0611925,0.984416588986581
2021-08-11,1111223457.8899288,1092916332.4611926,0.983525252910428
2021-08-12,1104455312.2899287,1085882345.6611927,0.9831835960929667
2021-08-13,1103264103.318042,1085536683.8681366,0.9839318442460054
2021-08-16,1099542076.3180423,1081813972.8681366,0.9838768303353425
2021-08-17,1108031247.3180423,1089507368.3681366,0.983282169167393
2021-08-18,1108190399.518042,1089484269.9681368,0.9831201122496273
2021-08-19,1096461173.1180422,1080079645.6681368,0.9850596374486105
2021-08-20,1100551724.1180422,1082609921.2681367,0.9836974469652632
2021-08-23,1094635818.8680422,1079129157.3781366,0.9858339538843696
2021-08-24,1107896833.7680423,1089205701.0781367,0.983129175821962
