date,nav_base,nav_chal_e45_e3,rel_chal_vs_base
2022-04-20,8247949.463781377,7927254.202832505,0.9611181830881581
2022-04-21,8121519.177064503,7827305.487007754,0.963773564570577
2022-04-22,8195919.857734252,7893552.86343013,0.9631076194554554
2022-04-25,8099094.824348252,7793061.089537879,0.9622138348238194
2022-04-26,8265416.624348251,7946071.18953788,0.9613636614675123
2022-04-27,8176306.374348251,7860616.48953788,0.9613896703038436
2022-04-28,8166492.174348252,7861289.837927755,0.9626274868199632
2022-04-29,8232925.891837252,7919771.368664005,0.9619631553487281
2022-05-03,8099583.409326252,7805266.7861530045,0.9636627455636352
2022-05-04,8040060.143816002,7745437.453642004,0.9633556609149738
2022-05-05,7973699.728958628,7704227.688784629,0.9662048924170873
2022-05-06,7914167.746559253,7643752.610596504,0.9658315132276146
2022-05-09,7726481.046559253,7472446.910596505,0.9671216256880777
2022-05-10,7777669.370806253,7508516.824460505,0.9653941902755572
2022-05-11,7792164.664943128,7514364.474460504,0.9643487782371382
2022-05-12,7621862.364943127,7359165.974460504,0.9655338317717597
2022-05-13,7645952.182655377,7390460.680139754,0.9665847370723559
2022-05-16,7644258.829753127,7401378.908696504,0.9682271458272343
2022-05-17,7641291.494504502,7419211.158696504,0.9709368061710885
2022-05-18,7864389.576909502,7625712.458696504,0.9696509034962136
2022-05-19,7734198.768085502,7524641.35183438,0.9729050904256763
2022-05-20,7809909.968085502,7585954.9095116295,0.9713242457993696
2022-05-23,7814588.768085503,7580295.406497754,0.9700184656491978
2022-05-24,7819035.399255002,7588621.191752005,0.9705316326455115
2022-05-25,7912096.296241127,7641214.941752005,0.9657636428644313
2022-05-26,7922597.946241127,7670557.141752005,0.9681871014786629
2022-05-27,7989428.296241127,7703276.341752006,0.9641836757426373
2022-05-30,8085336.343115628,7769393.041752005,0.960923913618926
2022-05-31,8063893.422336502,7756048.991752004,0.9618243428500943
2022-06-01,7975944.7947647525,7676374.191752005,0.9624407376528761
2022-06-02,7961218.394764752,7653978.091752004,0.9614078790735363
2022-06-06,7983462.0447647525,7668999.641752005,0.9606107724631872
2022-06-07,7924760.594764752,7638082.141752005,0.9638249699048155
2022-06-08,7972048.744764753,7673298.791752005,0.9625253228401374
2022-06-09,7946610.5447647525,7661125.741752004,0.9640746452333911
2022-06-10,7882597.644764752,7609355.191752005,0.9653359888038657
2022-06-13,7786420.894764752,7562086.691752005,0.971189047439809
2022-06-14,7842161.074445752,7590621.971433004,0.9679247721865333
2022-06-15,7831563.174445752,7611099.371433005,0.971849323295748
2022-06-16,7793849.024445752,7585224.971433004,0.9732322178222353
2022-06-17,7732002.174445752,7540233.021433005,0.9751979954627349
2022-06-20,7635356.274445752,7465436.638771504,0.9777456834276431
2022-06-21,7838397.474445752,7630333.338338629,0.9734557813908468
2022-06-22,7784798.624445752,7582625.28833863,0.9740297282100195
2022-06-23,7821897.674445752,7617848.48833863,0.9739130841900739
2022-06-24,7924269.024445752,7693574.88833863,0.9708876446022405
2022-06-27,7913402.274445752,7674331.48833863,0.9697891276323538
2022-06-28,7942168.424445752,7692821.38833863,0.9686046652776036
2022-06-29,7905832.374445752,7691332.13833863,0.9728681021873854
2022-06-30,7752984.274445753,7573723.44904888,0.9768784742685824
2022-07-01,7753047.524445752,7557469.399048879,0.9747740324330265
2022-07-04,7816034.674445752,7601401.888672255,0.9725394276364675
2022-07-05,7849630.0744457515,7623086.620468005,0.9711396012513694
2022-07-06,7747529.224445753,7538664.570468005,0.9730411273159554
2022-07-07,7739834.551726627,7533818.5477488795,0.9733823762509511
2022-07-08,7695870.351726626,7491087.747748879,0.9733905855194399
2022-07-11,7599309.901726627,7419787.875029754,0.976376535630415
2022-07-12,7473459.501726626,7315851.625029754,0.9789109880557378
2022-07-13,7645710.2034071265,7444968.7743073795,0.9737445673771037
2022-07-14,7609606.903407127,7417844.5243073795,0.9747999625297481
2022-07-15,7502820.403407127,7331762.0243073795,0.9772007898493655
2022-07-18,7536201.253407127,7352003.26142313,0.9755582440290164
2022-07-19,7491274.803407127,7321201.557915379,0.9772971556971323
2022-07-20,7457486.153407127,7292625.315969255,0.9778932425690725
2022-07-21,7537559.708611753,7362113.691847004,0.9767237642490182
2022-07-22,7550114.807113252,7365197.346111255,0.9755079934906713
2022-07-25,7592823.084089253,7427337.709975254,0.978205026999671
2022-07-26,7595247.182532127,7423695.891880754,0.9774133367185319
2022-07-27,7726397.306054502,7525670.141880754,0.9740206002587448
2022-07-28,7777392.235387003,7564211.741880755,0.9725897206860314
2022-07-29,7777700.774986753,7578837.700598754,0.9744316372998628
2022-08-01,7809206.519012002,7594449.674611005,0.9724995306657395
2022-08-02,7791312.1159981275,7571454.574611004,0.9717817053002301
2022-08-03,7763295.515998127,7562179.474611005,0.9740939861206269
2022-08-04,7751497.915998127,7557460.874611004,0.9749678006122333
2022-08-05,7833537.8659981275,7617880.874611005,0.9724700390709551
2022-08-08,7895247.815998127,7668903.724611005,0.9713316039392099
2022-08-09,7983489.615998127,7729791.124611004,0.9682221054213266
2022-08-10,8068672.8659981275,7801727.724611005,0.9669158552068648
2022-08-11,8235606.805998127,7907425.864611004,0.9601509701570377
2022-08-12,8265059.085680503,7921272.044293379,0.9584047690617545
2022-08-15,8257365.691345127,7919465.976326254,0.9590789935132654
2022-08-16,8221496.021409377,7889343.556390504,0.9595995103380305
2022-08-17,8225085.721409378,7902407.606390504,0.960769027102178
2022-08-18,8196762.171409377,7877500.356390504,0.9610502527287579
2022-08-19,8148901.071409377,7843023.656390504,0.9624639675536065
2022-08-22,8142038.221409377,7828689.606390504,0.9615147207004106
2022-08-23,8052502.621409377,7756701.96378663,0.9632659967304705
2022-08-24,8043059.571409377,7757661.842268255,0.964516273116312
2022-08-25,8112379.4465768775,7810016.542268255,0.9627282098550989
2022-08-26,8132421.246576877,7825134.092268255,0.9622145551747007
2022-08-29,8077451.096576878,7780202.638521255,0.9632002156990349
2022-08-30,8085600.1965768775,7787907.41700288,0.9631823522884512
2022-08-31,8126755.246576877,7824854.96700288,0.9628510678107154
2022-09-01,8006700.646576878,7730625.067002879,0.9655194328150598
2022-09-02,7978785.396576878,7707401.86700288,0.965986861898751
2022-09-05,8033407.846576877,7747463.247741255,0.964405566815898
2022-09-06,8081193.846576878,7793667.297741255,0.9644202881041621
2022-09-07,7978141.346576878,7704890.897741254,0.9657501118411664
2022-09-08,8036116.796576877,7763685.797741255,0.9660991738009994
2022-09-12,8093158.796576877,7801706.247741255,0.9639877881848931
2022-09-13,8070391.046576877,7798432.197741254,0.9663016516466105
2022-09-14,7978632.746576877,7718052.397741254,0.967340225184895
2022-09-15,8006316.496576877,7760599.297741255,0.9693095821354702
2022-09-16,8036309.496576877,7786676.897741254,0.9689369107869781
2022-09-19,7974522.346576878,7723685.397741254,0.9685452071065677
2022-09-20,7985448.996576877,7732899.834051879,0.9683738306220153
2022-09-21,7960153.646576878,7721764.63405188,0.9700522096545822
2022-09-22,7848234.096576878,7634433.9840518795,0.9727581886709712
2022-09-23,7843218.9465768775,7622462.084051879,0.9718537931901867
2022-09-26,7796821.796576877,7578461.334051879,0.971993657387313
2022-09-27,7757327.146576878,7577905.294760754,0.9768706606765581
2022-09-28,7742048.096576878,7588938.444760755,0.9802236243037782
2022-09-29,7742622.746576877,7595342.594760754,0.9809780023337392
2022-09-30,7643190.1965768775,7522853.7447607545,0.9842557297775977
2022-10-03,7532623.4465768775,7416940.2447607545,0.9846423755765072
2022-10-04,7582470.4465768775,7454481.754270255,0.9831204495674093
2022-10-05,7554369.1965768775,7424242.704270255,0.9827746713298594
2022-10-06,7588303.746576877,7455282.604270255,0.9824702401552351
2022-10-07,7512893.246576877,7395153.999657505,0.9843283748277645
2022-10-11,7367486.246576877,7275237.499657505,0.9874789387001254
2022-10-12,7408384.6965768775,7305254.520452131,0.9860792628422227
2022-10-13,7241859.246576877,7173170.520452131,0.9905150426449927
2022-10-14,7213654.182599378,7152075.520452131,0.9914635965921702
2022-10-17,7148389.732599378,7097425.37045213,0.9928705115342508
2022-10-18,7179386.507478753,7111675.445331505,0.9905686840962367
