date,nav_base,nav_blend025,rel_blend025_vs_base
2024-12-09,53104027.31852052,52806784.5898465,0.9944026330264718
2024-12-10,52600002.66010868,52342595.8189901,0.9951063340665228
2024-12-11,52202963.847118735,51948491.85203818,0.9951253343425902
2024-12-12,52491156.5789366,52230332.09102839,0.9950310775203443
2024-12-13,52270844.494770944,52053496.83626503,0.9958418950256742
2024-12-16,52140281.63314936,51963562.987566575,0.9966107078817458
2024-12-17,51555251.70606409,51476949.014185175,0.9984811888355167
2024-12-18,51010427.65727302,51005286.40230082,0.9998992116865449
2024-12-19,50167626.25956365,50229406.604655206,1.001231478339675
2024-12-20,49877145.78320101,49938497.59467125,1.0012300585870915
2024-12-23,51375602.48400821,51297757.16413764,0.9984847803995136
2024-12-24,51413069.5736236,51366669.43516032,0.9990975030503316
2024-12-25,50830468.87457743,50883731.876231894,1.0010478558005413
2024-12-26,51256882.69536741,51223058.19972555,0.9993400984635978
2024-12-27,51149820.50072453,51163456.50121047,1.0002665894103333
2024-12-30,51537964.190777995,51451178.95517822,0.998316091119189
2024-12-31,50866603.73770497,50839196.17507062,0.9994611874860827
2025-01-02,51113323.219224274,50949197.72147687,0.9967889879309261
2025-01-03,51046513.0165167,50956243.073526815,0.9982316139211962
2025-01-06,52253912.980130546,52129531.70479736,0.9976196753843012
2025-01-07,51925823.61602965,51881085.009193204,0.9991384131493557
2025-01-08,51999436.11564788,51893739.6977062,0.9979673545361798
2025-01-09,52344978.26881667,52115800.91044919,0.995621789024526
2025-01-10,52036447.107290864,51846625.06399001,0.9963521329019741
2025-01-13,51742337.584241964,51500528.843606874,0.995326675370215
2025-01-14,52710333.97890823,52369347.740849756,0.9935309414242202
2025-01-15,52660872.97648369,52295856.08351364,0.993068536992673
2025-01-16,52963285.64981747,52652386.80827161,0.994129917777355
2025-01-17,52805297.66069837,52519039.03621431,0.9945789790576804
2025-01-20,52615112.29985252,52386634.515127316,0.9956575634881645
2025-01-21,53243427.28779314,52933339.12428444,0.9941760292433355
2025-01-22,53821831.61742034,53456203.994683795,0.9932067041988553
2025-02-03,53739982.074632354,53234974.918004274,0.990602766559789
2025-02-04,53336026.10259248,52891757.0467506,0.9916703757608913
2025-02-05,53509738.71837071,53115821.95604633,0.9926384099089397
2025-02-07,53568762.14149084,53218550.37792874,0.9934623883479501
2025-02-10,53558375.57097992,53137827.39221823,0.9921478541072564
2025-02-11,53124180.00192202,52794280.24466901,0.9937900263638692
2025-02-12,53371725.405041605,53011755.16253956,0.9932554130530686
2025-02-13,53567776.02268746,53149910.33702655,0.992199308676098
2025-02-14,53143123.72012827,52752497.83574171,0.9926495497998248
2025-02-17,53589683.9752479,53173787.50711239,0.9922392438752279
2025-02-18,53725853.12663747,53333094.35798983,0.9926895759529054
2025-02-19,53706625.96399787,53301836.15763709,0.992462944765286
2025-02-20,53630167.57781965,53240319.28814136,0.9927308023210518
2025-02-21,53682112.52212105,53336687.00851052,0.9935653517087617
2025-02-24,53188118.94363993,52894175.52220801,0.9944735134975654
2025-02-25,52970113.037257954,52668101.29193251,0.9942984500502573
2025-02-26,53509077.44621042,53184976.64591262,0.9939430688069029
2025-02-27,53509444.53192752,53132670.5558989,0.9929587387922928
