family,top_k,rebalance_every,exit_multiple,neutralization,industry_cap,min_hold_cycles,liquidity_floor,replace_rank_gap,cagr,max_drawdown,average_daily_turnover,total_cost,trade_count,ending_nav,utility,block_bootstrap_positive_probability,mean_daily_excess,hac_t_stat,turnover_gate_pass,bootstrap_gate_pass,implied_avg_rebalance_day_turnover,diag_rebalance_events,diag_forced_rank_exits,diag_liquidity_or_missing_exits,diag_min_hold_blocks,diag_replace_gap_blocks,diag_mean_jaccard,diag_mean_one_way_name_churn,diag_mean_names_held,diag_exit_rank,both_gates_pass,is_c1_reference,feature_set,mode,ridge_lambda
C2_exit_minhold,20,42,2.0,NONE,5,0,20000000.0,0,0.10038792073507619,-0.3007120488380899,0.02195110039323891,0.20090324349277677,1385,2.113234146378882,-0.049968103683968756,0.7672,0.00010267525858099235,0.6362629315127005,true,true,0.9219462165160343,47,364,87,0,0,0.3976675857714596,0.49021739130434777,20.0,40,true,true,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,49,2.0,NONE,5,1,20000000.0,0,0.0948438549372348,-0.3026018848007884,0.023035767163507716,0.19837553412980785,1281,2.031375944142326,-0.05645708746315942,0.7352,0.00008981808292869389,0.5885579477416305,true,true,1.128752591011878,41,364,102,0,0,0.3096048701035013,0.5824999999999999,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,49,2.0,NONE,5,0,20000000.0,0,0.0948438549372348,-0.3026018848007884,0.023035767163507716,0.19837553412980785,1281,2.031375944142326,-0.05645708746315942,0.7352,0.00008981808292869389,0.5885579477416305,true,true,1.128752591011878,41,364,102,0,0,0.3096048701035013,0.5824999999999999,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,35,2.0,NONE,5,0,20000000.0,0,0.10291916560513759,-0.3592321958400466,0.024612761872597352,0.20661228561633732,1629,2.1515546532145535,-0.07669693231488572,0.7664,0.00011482119441465277,0.6516970097062518,true,true,0.8614466655409073,57,381,113,0,0,0.44626023504799534,0.44107142857142856,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,35,2.0,NONE,5,1,20000000.0,0,0.10291916560513759,-0.3592321958400466,0.024612761872597352,0.20661228561633732,1629,2.1515546532145535,-0.07669693231488572,0.7664,0.00011482119441465277,0.6516970097062518,true,true,0.8614466655409073,57,381,113,0,0,0.44626023504799534,0.44107142857142856,20.0,40,true,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,56,2.5,NONE,5,1,20000000.0,0,0.06034171106194686,-0.34322261545683297,0.015135610114299203,0.12504500803101368,1011,1.5813312918489029,-0.11126959666646963,0.3804,-0.00005084091111143815,-0.3096789434944563,true,false,0.8475941664007554,36,232,60,0,0,0.46724742536909697,0.4171428571428571,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_reb_neighborhood,20,56,2.5,NONE,5,0,20000000.0,0,0.06034171106194686,-0.34322261545683297,0.015135610114299203,0.12504500803101368,1011,1.5813312918489029,-0.11126959666646963,0.3804,-0.00005084091111143815,-0.3096789434944563,true,false,0.8475941664007554,36,232,60,0,0,0.46724742536909697,0.4171428571428571,20.0,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.5,NONE,5,0,20000000.0,8,0.0608872280388395,-0.308562370686578,0.016855061608176732,0.1260629057143652,1281,1.5877056069867517,-0.0933939573044495,0.3812,-0.00004590073242992633,-0.2783361919453659,true,false,0.7079125875434228,47,324,85,0,430,0.5022894376392537,0.3850543478260871,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.5,NONE,5,1,20000000.0,8,0.0608872280388395,-0.308562370686578,0.016855061608176732,0.1260629057143652,1281,1.5877056069867517,-0.0933939573044495,0.3812,-0.00004590073242992633,-0.2783361919453659,true,false,0.7079125875434228,47,324,85,0,430,0.5022894376392537,0.3850543478260871,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
C2_replace_gap,20,42,2.5,NONE,5,0,20000000.0,5,0.06032417506470278,-0.308562370686578,0.016950243079014066,0.1274509773996449,1283,1.5811267561711106,-0.09395701027858622,0.3758,-0.000047779671559782845,-0.28898402543039486,true,false,0.7119102093185908,47,325,84,0,393,0.4998934082176067,0.38722826086956524,19.914893617021278,50,false,false,TECH2,BREADTH_REGIME,1.0
