date,nav_base,nav_m2_reloc_bil_fx_c35,rel_chal_vs_base
2024-11-27,10021512.037728379,9128874.378923876,0.9109278464722734
2024-11-28,9997872.08772838,9113322.126890061,0.9115261774628989
2024-11-29,9966183.387728378,9080730.869525801,0.9111543021280486
2024-12-02,10062450.98772838,9181904.192315802,0.9124918177006333
2024-12-03,10246596.187728379,9330787.80750038,0.9106231607599802
2024-12-04,10258757.38772838,9339813.795797775,0.9104234989483372
2024-12-05,10265328.287728379,9342011.990097646,0.9100548689967854
2024-12-06,10282475.38772838,9372489.772476563,0.9115013086889721
2024-12-09,10377382.48772838,9466454.673297105,0.9122198863240824
2024-12-10,10288363.83772838,9391058.401114522,0.9127844377622654
2024-12-11,10210118.537728379,9325625.236222403,0.9133709076699159
2024-12-12,10257872.037728379,9368172.81900124,0.9132666877248194
2024-12-13,10222454.98772838,9331574.683978103,0.9128506503751065
2024-12-16,10202072.137728378,9309810.72096652,0.9125411578435936
2024-12-17,10099592.73772838,9218940.413579103,0.9128031845423348
2024-12-18,10001166.637728378,9131404.39368599,0.913033921386601
2024-12-19,9858535.83772838,9007122.306986365,0.9136369188329493
2024-12-20,9808554.037728379,8957843.242452815,0.9132684805524521
2024-12-23,10052942.387728378,9190667.337768335,0.9142265998646703
2024-12-24,10072286.637728378,9192573.568087198,0.9126600442102208
2024-12-25,9970512.787728379,9102678.397855587,0.9129599040341321
2024-12-26,10035619.287728379,9170565.120043164,0.9138016157365586
2024-12-27,10022702.187728379,9154116.234029269,0.9133381459979334
2024-12-30,10081913.73772838,9211268.077634819,0.9136428179468106
2024-12-31,9970644.73772838,9109604.171774274,0.9136424385179451
2025-01-02,9988041.48772838,9151824.568075217,0.9162781892045038
2025-01-03,9984927.508066628,9139204.631816292,0.9153000484413039
2025-01-06,10191366.358066628,9323161.495280534,0.9148097681623528
2025-01-07,10124350.358066628,9265053.847708216,0.9151257631385936
2025-01-08,10147653.308066629,9286341.036619043,0.9151220242454572
2025-01-09,10199352.308066629,9337447.586383525,0.9154941710365837
2025-01-10,10143999.45806663,9291424.04615163,0.915952734871548
2025-01-13,10101535.858066628,9254602.57760733,0.9161579692079225
2025-01-14,10274915.908066629,9397287.395338427,0.9145853337797935
2025-01-15,10268950.70806663,9393792.315301336,0.9147762592649487
2025-01-16,10323248.633810379,9433499.968670757,0.913811175464132
2025-01-17,10286871.43381038,9411020.817715688,0.9148574353504615
2025-01-20,10250469.04509688,9376601.722698636,0.914748552621966
2025-01-21,10360695.095096879,9471314.211437926,0.9141581838384718
2025-01-22,10447005.89509688,9564012.653731765,0.9154788223313312
2025-02-03,10455997.39509688,9561231.116016995,0.9144255449509325
2025-02-04,10373092.39509688,9500187.958214276,0.9158491601506215
2025-02-05,10404365.74509688,9526539.052304197,0.9156290047563579
2025-02-07,10418817.79509688,9531463.316223057,0.9148315580207753
2025-02-10,10410186.095096879,9531969.117630556,0.9156386860480855
2025-02-11,10333486.195096878,9466150.820632806,0.9160655602486204
2025-02-12,10382367.845096879,9505837.025403356,0.9155750564060906
2025-02-13,10413701.14509688,9533076.183218464,0.9154359291083514
2025-02-14,10347990.54509688,9467029.229903948,0.9148664360144442
2025-02-17,10427275.095096879,9534239.582285857,0.9143558115934867
2025-02-18,10461848.845096879,9557827.493288076,0.9135887580489669
2025-02-19,10456485.49509688,9553450.175133968,0.913638734507273
2025-02-20,10448907.99509688,9542157.123971825,0.9132205134210634
2025-02-21,10463963.695096878,9550779.240894353,0.9127305406620994
2025-02-24,10383333.54509688,9474344.204380484,0.9124568871096672
2025-02-25,10350864.445096878,9444060.415735187,0.912393401133638
2025-02-26,10460722.24509688,9531442.831179723,0.9111648897519743
2025-02-27,10450524.49509688,9534407.770054044,0.9123377275970547
2025-03-03,10498623.945096878,9569591.697457364,0.9115091413410044
2025-03-04,10364609.695096878,9455761.965919591,0.912312401922165
2025-03-05,10370509.429466879,9461646.01447741,0.9123607744469124
2025-03-06,10385204.823652005,9475188.318783356,0.91237375474809
2025-03-07,10347354.073652005,9442518.137878766,0.9125538829218893
2025-03-10,10345276.819881005,9433283.938252011,0.9118445163423395
2025-03-11,10253042.156863004,9351190.077932302,0.9120405373221804
2025-03-12,10339106.971608879,9445260.85598391,0.9135470676452555
2025-03-13,10332050.47796638,9431105.069618262,0.9128009091448567
2025-03-14,10410930.47537588,9507708.33310741,0.913242899431056
2025-03-17,10384439.65070613,9484000.073221877,0.9132895362897099
2025-03-18,10451235.71043063,9540544.476855876,0.9128628174880931
2025-03-19,10467418.336807879,9565355.709772373,0.9138218615125497
2025-03-20,10507066.096437005,9598073.569077037,0.9134875026941905
2025-03-21,10508898.896437004,9602699.728616757,0.913768399834212
2025-03-24,10493661.896437004,9582227.557385264,0.913144301003141
2025-03-25,10511122.896437004,9607298.227346458,0.9140125486120118
2025-03-26,10521939.996437004,9613151.6148347,0.9136291993767268
2025-03-27,10569026.546437005,9649832.690726103,0.9130294685445012
2025-03-28,10518128.846437005,9593195.698370745,0.9120629570553721
2025-03-31,10398171.746437004,9490765.659883954,0.9127340739621869
2025-04-01,10424981.88244138,9520954.843390372,0.913282627322965
2025-04-02,10460545.549372254,9557620.719543949,0.9136828164872824
2025-04-07,9576957.384291628,8835184.720891343,0.9225461037743616
2025-04-08,9842092.003322879,8995762.123740908,0.9140091477201967
2025-04-09,9596449.326549754,8816314.782835146,0.9187059174525865
2025-04-10,10065955.499402378,9221853.756088257,0.916142909298155
2025-04-11,10068923.257673878,9209723.587631632,0.9146681677817516
2025-04-14,9993631.877677254,9146233.472569881,0.9152061617358346
2025-04-15,10051282.964957004,9199480.244794535,0.9152543289118203
2025-04-16,10034216.114957005,9196446.69433464,0.9165087326180282
2025-04-17,10010511.814957004,9180181.77894444,0.9170541875019873
2025-04-18,9989351.764957005,9155134.19227679,0.916489318595559
2025-04-21,10040530.114957005,9191165.910273299,0.9154064382100264
2025-04-22,10031123.967306754,9182047.64244234,0.9153558138019521
2025-04-23,10026945.367306754,9176000.24588599,0.9151341619756598
2025-04-24,9922524.317306753,9091203.424488656,0.9162188102307679
2025-04-25,9913317.017306754,9087854.781471936,0.9167319844211862
2025-04-28,9934137.517306754,9107713.838434981,0.9168097202769723
2025-04-29,10039041.367306754,9185489.523104144,0.9149767579420187
2025-04-30,10092543.217306754,9217437.996071676,0.913291902507344
2025-05-02,10055987.636372004,9143963.704830054,0.9093053845608158
2025-05-05,10151124.97854863,9186150.799675958,0.9049391884237603
2025-05-06,10350655.228724504,9365602.304109,0.9048318292080828
2025-05-07,10304363.861135129,9311361.864196332,0.9036328675577837
2025-05-08,10304645.311135128,9311194.712917222,0.9035919657375892
2025-05-09,10374344.516334128,9370724.144499186,0.9032593943400696
2025-05-12,10407431.61633413,9375767.913279297,0.900872401464001
2025-05-13,10344388.919116128,9333630.548578275,0.9022892141390778
2025-05-14,10368852.65268888,9334949.367915532,0.9002875902084274
