signal_date,execution_date,code,side,gross_value,cost,period
2019-03-26,2019-03-27,2884,SELL,0.0005998099581805486,2.9540640440392018e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,1303,SELL,0.0009593835669846826,4.724964067399562e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,1301,SELL,0.0006638556208397178,3.269488932635611e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,1101,SELL,0.0033877330450841903,0.000016684585247039638,VALIDATION_2019_2022
2019-03-26,2019-03-27,2633,SELL,0.05305072601342013,0.0002612748256160942,VALIDATION_2019_2022
2019-03-26,2019-03-27,2412,SELL,0.0001605523744253462,7.907204440448301e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2891,BUY,0.0008369270321271949,1.6110845368448503e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,2887,BUY,0.00008171383897983551,1.5729914003618336e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2317,BUY,0.0002274567359030001,4.3785421661327516e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2886,BUY,0.0000817138389798424,1.5729914003619662e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,1216,BUY,0.00022756028642310978,4.380535513644863e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2881,BUY,0.001820529147580354,3.5045186090921815e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,2330,BUY,0.00008171383897983551,1.5729914003618336e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,1326,BUY,0.00008171383897980105,1.5729914003611702e-7,VALIDATION_2019_2022
2019-03-26,2019-03-27,2834,BUY,0.0005301158367878063,1.0204729858165272e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,2882,BUY,0.0025583003597391876,4.924728192497936e-6,VALIDATION_2019_2022
2019-03-26,2019-03-27,2885,BUY,0.05269489962824768,0.00010143768178437678,VALIDATION_2019_2022
2019-04-02,2019-04-03,2382,SELL,0.00012146025127301313,5.981917375195897e-7,VALIDATION_2019_2022
2019-04-02,2019-04-03,2884,SELL,0.00008990649199994843,4.427894730997461e-7,VALIDATION_2019_2022
2019-04-02,2019-04-03,1326,SELL,0.053541623284731915,0.0002636924946773047,VALIDATION_2019_2022
2019-04-02,2019-04-03,1101,SELL,0.0004321210006676887,2.128195928288367e-6,VALIDATION_2019_2022
2019-04-02,2019-04-03,2330,SELL,0.000724770875419542,3.569496561441245e-6,VALIDATION_2019_2022
2019-04-02,2019-04-03,2317,SELL,0.006779025623715983,0.00003338670119680122,VALIDATION_2019_2022
2019-04-02,2019-04-03,2834,SELL,0.00008619537391421628,4.245122165275152e-7,VALIDATION_2019_2022
2019-04-02,2019-04-03,1216,SELL,0.00027036382217406757,1.331541824207283e-6,VALIDATION_2019_2022
2019-04-02,2019-04-03,2885,SELL,0.05284502754741647,0.00026026176067102613,VALIDATION_2019_2022
