date,nav_core
2022-04-07,3763764.355714897
2022-04-08,3817939.0710141757
2022-04-11,3827819.6486256323
2022-04-12,3804715.6046808837
2022-04-13,3831889.628377738
2022-04-14,3738963.0647980855
2022-04-15,3717815.3660987103
2022-04-18,3643470.1423783395
2022-04-19,3636818.40511413
2022-04-20,3679119.108974146
2022-04-21,3623256.0803856873
2022-04-22,3657012.142325255
2022-04-25,3614793.8380220328
2022-04-26,3684248.2295755064
2022-04-27,3644138.6183212446
2022-04-28,3636622.3181218444
2022-04-29,3662979.8197203954
2022-05-03,3600903.3109153286
2022-05-04,3571657.257218243
2022-05-05,3541231.092778304
2022-05-06,3519891.154678851
2022-05-09,3435863.7804510165
2022-05-10,3451857.0077103325
2022-05-11,3458888.4695102107
2022-05-12,3384442.8240855676
2022-05-13,3391272.146749775
2022-05-16,3390305.4127586847
2022-05-17,3387301.9395861286
2022-05-18,3485591.846716179
2022-05-19,3430900.815667894
2022-05-20,3461611.6260300307
2022-05-23,3464669.7676400295
2022-05-24,3471612.26201914
2022-05-25,3509106.2140810364
2022-05-26,3520262.206642442
2022-05-27,3549356.0284582027
2022-05-30,3593644.11596642
2022-05-31,3586862.761558595
2022-06-01,3535822.8104421557
2022-06-02,3532507.156944945
2022-06-06,3543070.733154167
2022-06-07,3517775.67268263
2022-06-08,3540651.0250925086
2022-06-09,3527256.1231307597
2022-06-10,3497889.5548917684
2022-06-13,3452191.6207811795
2022-06-14,3478932.8260150407
2022-06-15,3472314.0625545233
2022-06-16,3453538.589146611
2022-06-17,3424187.170334498
2022-06-20,3384731.878146741
2022-06-21,3475795.2828736794
2022-06-22,3450231.8978150403
2022-06-23,3468290.4969387213
2022-06-24,3513481.435903736
2022-06-27,3508498.15392199
2022-06-28,3519181.7340182792
2022-06-29,3504091.684950139
2022-06-30,3435309.1948766573
2022-07-01,3435876.2710574097
2022-07-04,3462435.9398669857
2022-07-05,3480102.270965494
2022-07-06,3439907.7491594614
2022-07-07,3433227.078863977
2022-07-08,3412535.9689382575
2022-07-11,3376147.6980807483
2022-07-12,3320071.839164476
2022-07-13,3397437.5224349936
2022-07-14,3386500.373841635
2022-07-15,3337832.045644144
2022-07-18,3359330.4724999513
2022-07-19,3335630.9814412827
2022-07-20,3318825.5576611995
2022-07-21,3352318.1005930062
2022-07-22,3355190.019950112
2022-07-25,3378604.72311277
2022-07-26,3379501.3735506022
2022-07-27,3436449.4593008887
2022-07-28,3458769.3312039846
2022-07-29,3460451.172490163
2022-08-01,3476243.2868522163
2022-08-02,3470607.529835327
2022-08-03,3454181.1821637526
2022-08-04,3446160.2131352657
2022-08-05,3485613.6612916607
2022-08-08,3506315.0126838647
2022-08-09,3544639.6583195706
2022-08-10,3582587.624677888
2022-08-11,3588744.3120435015
2022-08-12,3601808.0047937967
2022-08-15,3597291.01304348
2022-08-16,3589523.2304816614
2022-08-17,3589617.9853239316
2022-08-18,3577704.9753340394
2022-08-19,3556787.1913994155
2022-08-22,3557393.3670625277
2022-08-23,3517519.4731021803
2022-08-24,3510350.0210170317
2022-08-25,3539482.3405336794
2022-08-26,3548446.8011158765
2022-08-29,3528621.0525535634
2022-08-30,3528318.8016285487
2022-08-31,3544499.439213624
2022-09-01,3497126.6139719076
2022-09-02,3486087.4478896847
2022-09-05,3514221.323718048
2022-09-06,3531896.988452217
2022-09-07,3485036.860668438
2022-09-08,3507665.309942604
2022-09-12,3535108.808798916
2022-09-13,3523552.8316503335
2022-09-14,3480999.878842015
2022-09-15,3491077.0279477723
2022-09-16,3505106.049740189
2022-09-19,3479694.9287717277
2022-09-20,3484049.9918231615
2022-09-21,3471191.2774419263
2022-09-22,3428218.9351625643
2022-09-23,3426465.9138411335
2022-09-26,3407268.7246456905
2022-09-27,3388317.3022761727
2022-09-28,3380263.310901457
2022-09-29,3376825.4974189717
2022-09-30,3329239.5305215726
2022-10-03,3287777.6201456017
2022-10-04,3306302.4471369097
2022-10-05,3293748.1397788962
2022-10-06,3310201.637266055
2022-10-07,3277082.970730397
2022-10-11,3210535.056299862
2022-10-12,3230488.72389924
2022-10-13,3152919.6581543996
2022-10-14,3143257.728171837
2022-10-17,3114995.2524332907
2022-10-18,3126703.291244918
2022-10-19,3085523.233970132
2022-10-20,3097299.5019421373
2022-10-21,3143468.4584018933
2022-10-24,3137952.3932052255
2022-10-25,3192791.474472161
2022-10-26,3190243.84585218
2022-10-27,3185615.55409239
2022-10-28,3175575.59768071
2022-10-31,3194267.9761984996
2022-11-01,3206537.4800051493
2022-11-02,3169715.2376439837
2022-11-03,3143787.5325668682
2022-11-04,3189708.367514499
2022-11-07,3198772.1504628
2022-11-08,3225081.257964912
2022-11-09,3252313.0052814903
2022-11-10,3219064.3254807335
2022-11-11,3294536.160173224
2022-11-14,3301171.297078934
2022-11-15,3302378.144680787
2022-11-16,3266894.76484538
2022-11-17,3254091.162348518
2022-11-18,3236626.237028364
2022-11-21,3242882.9590221895
2022-11-22,3257050.0278393035
2022-11-23,3269044.5440153764
2022-11-24,3314940.754051902
2022-11-25,3322315.1205758895
2022-11-28,3280738.053649056
2022-11-29,3325321.6254230025
2022-11-30,3373871.368219088
2022-12-01,3362363.2791464794
