date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2024-06-19,TX,202408/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202409/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-19,TX,202412/202503,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2,0.0,0,position
2024-06-20,TX,202407,23150.0,23228.0,23085.0,23144.0,9.0,0.04,40683,0.0,0,after_market
2024-06-20,TX,202408,23111.0,23190.0,23060.0,23115.0,28.0,0.12,362,0.0,0,after_market
2024-06-20,TX,202409,23081.0,23164.0,23052.0,23104.0,44.0,0.19,49,0.0,0,after_market
2024-06-20,TX,202412,23088.0,23135.0,23065.0,23070.0,5.0,0.02,25,0.0,0,after_market
2024-06-20,TX,202503,23130.0,23137.0,23091.0,23094.0,18.0,0.08,11,0.0,0,after_market
2024-06-20,TX,202407/202408,-38.0,-30.0,-38.0,-30.0,0.0,0.0,5,0.0,0,after_market
2024-06-20,TX,202407/202409,-50.0,-47.0,-50.0,-47.0,0.0,0.0,9,0.0,0,after_market
2024-06-20,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202408/202409,-20.0,-20.0,-20.0,-20.0,0.0,0.0,1,0.0,0,after_market
2024-06-20,TX,202408/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202412/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-20,TX,202407,23153.0,23380.0,23106.0,23378.0,243.0,1.05,90192,23377.0,79838,position
2024-06-20,TX,202408,23116.0,23355.0,23080.0,23355.0,268.0,1.16,774,23352.0,758,position
2024-06-20,TX,202409,23099.0,23344.0,23075.0,23344.0,284.0,1.23,214,23344.0,2018,position
2024-06-20,TX,202412,23101.0,23284.0,23085.0,23273.0,208.0,0.9,38,23337.0,380,position
2024-06-20,TX,202503,23086.0,23301.0,23086.0,23301.0,225.0,0.98,11,23342.0,330,position
2024-06-20,TX,202506,23082.0,23318.0,23049.0,23318.0,271.0,1.18,17,23335.0,6,position
2024-06-20,TX,202407/202408,-29.0,-23.0,-30.0,-26.0,0.0,0.0,142,0.0,0,position
2024-06-20,TX,202407/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-20,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-20,TX,202407/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-20,TX,202407/202506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-20,TX,202408/202409,25.0,25.0,25.0,25.0,0.0,0.0,2,0.0,0,position
2024-06-20,TX,202408/202412,-20.0,-17.0,-20.0,-17.0,0.0,0.0,2,0.0,0,position
2024-06-20,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-20,TX,202409/202412,-11.0,-11.0,-11.0,-11.0,0.0,0.0,2,0.0,0,position
2024-06-21,TX,202407,23354.0,23400.0,22974.0,23058.0,-319.0,-1.36,93075,0.0,0,after_market
2024-06-21,TX,202408,23323.0,23375.0,22964.0,23048.0,-304.0,-1.3,1047,0.0,0,after_market
2024-06-21,TX,202409,23305.0,23376.0,22995.0,22995.0,-349.0,-1.5,127,0.0,0,after_market
2024-06-21,TX,202412,23300.0,23358.0,23000.0,23000.0,-337.0,-1.44,34,0.0,0,after_market
2024-06-21,TX,202503,23342.0,23342.0,23000.0,23000.0,-342.0,-1.47,28,0.0,0,after_market
2024-06-21,TX,202506,23223.0,23315.0,23040.0,23057.0,-278.0,-1.19,14,0.0,0,after_market
2024-06-21,TX,202407/202408,-25.0,-13.0,-25.0,-13.0,0.0,0.0,5,0.0,0,after_market
2024-06-21,TX,202407/202409,-6.0,4.0,-6.0,-1.0,0.0,0.0,4,0.0,0,after_market
2024-06-21,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202407/202503,11.0,11.0,-12.0,-12.0,0.0,0.0,7,0.0,0,after_market
2024-06-21,TX,202407/202506,12.0,12.0,12.0,12.0,0.0,0.0,1,0.0,0,after_market
2024-06-21,TX,202408/202409,11.0,11.0,11.0,11.0,0.0,0.0,1,0.0,0,after_market
2024-06-21,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202408/202506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202412/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202503/202506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-06-21,TX,202407,23034.0,23291.0,23025.0,23210.0,-167.0,-0.71,98199,23207.0,79392,position
2024-06-21,TX,202408,23026.0,23270.0,23017.0,23188.0,-164.0,-0.7,705,23194.0,1334,position
2024-06-21,TX,202409,23051.0,23249.0,23051.0,23206.0,-138.0,-0.59,62,23206.0,2012,position
2024-06-21,TX,202412,23102.0,23229.0,23101.0,23205.0,-132.0,-0.57,32,23205.0,404,position
2024-06-21,TX,202503,23070.0,23271.0,23070.0,23259.0,-83.0,-0.36,12,23212.0,339,position
2024-06-21,TX,202506,23121.0,23121.0,23121.0,23121.0,-214.0,-0.92,1,23220.0,16,position
2024-06-21,TX,202407/202408,-16.0,-15.0,-16.0,-16.0,0.0,0.0,6,0.0,0,position
2024-06-21,TX,202407/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-21,TX,202407/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-21,TX,202407/202503,-17.0,-17.0,-17.0,-17.0,0.0,0.0,3,0.0,0,position
2024-06-21,TX,202407/202506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-21,TX,202408/202409,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-21,TX,202408/202503,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-21,TX,202409/202412,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2024-06-24,TX,202407,23198.0,23211.0,22700.0,23030.0,-177.0,-0.76,95856,0.0,0,after_market
2024-06-24,TX,202408,23183.0,23183.0,22771.0,23018.0,-176.0,-0.76,914,0.0,0,after_market
2024-06-24,TX,202409,23188.0,23188.0,22844.0,23013.0,-193.0,-0.83,95,0.0,0,after_market
2024-06-24,TX,202412,22950.0,23065.0,22922.0,23013.0,-192.0,-0.83,38,0.0,0,after_market
2024-06-24,TX,202503,22935.0,23108.0,22935.0,22987.0,-225.0,-0.97,24,0.0,0,after_market
2024-06-24,TX,202506,22944.0,23116.0,22944.0,22996.0,-224.0,-0.96,25,0.0,0,after_market
