date,nav_base,nav_l4,rel_l4_vs_base
2024-07-09,49408392.076743536,49430116.59949616,1.000439692971973
2024-07-10,49366998.18997199,49376258.71234034,1.0001875852838513
2024-07-11,49917267.65336856,49977510.46558386,1.0012068531601857
2024-07-12,49733517.36278359,49760726.610440224,1.0005471008104687
2024-07-15,49922224.039173365,49989098.56411836,1.0013395742323603
2024-07-16,49737040.84447563,49781538.84709015,1.0008946652607191
2024-07-17,49436283.293623365,49438739.088793345,1.000049675966848
2024-07-18,49882485.59196482,49848057.29848922,0.999309811989779
2024-07-19,49425965.32327364,49415387.14605926,0.9997859793502223
2024-07-22,49087711.04719128,49027157.47422635,0.9987664209295334
2024-07-23,49920391.57349862,49898208.411568195,0.9995556292482649
2024-07-26,49214247.58696513,49017909.031778455,0.9960105342494624
2024-07-29,49823582.422695145,49540666.59901639,0.9943216483054441
2024-07-30,49328715.73372903,49131216.71191992,0.9959962667004106
2024-07-31,49814738.799068175,49533380.46590114,0.9943519058826762
2024-08-01,50631690.21912946,50393142.362511314,0.99528856620062
2024-08-02,49950491.91524284,49638207.44319226,0.9937481201870749
2024-08-05,47134091.148549035,47028105.37439015,0.9977513987948795
2024-08-06,48309208.65987654,48241319.97166389,0.9985947050242404
2024-08-07,48538295.02879701,48544285.99209032,1.0001234275594098
2024-08-08,47896392.34201425,48043690.040936716,1.0030753401607089
2024-08-09,48713627.18751948,48751183.94312955,1.000770970214669
2024-08-12,48962303.990341224,48896858.83304473,0.9986633562564906
2024-08-13,48009299.863281205,48070923.93275118,1.0012835860894758
2024-08-14,48429977.3227864,48480546.13403336,1.0010441634302225
2024-08-15,48159624.36782384,48297788.365858,1.0028688761560705
2024-08-16,48826287.40034884,48856113.22964113,1.0006108559728848
2024-08-19,48828614.5440691,48922444.5587892,1.0019216194355753
2024-08-20,49242488.98935454,49243717.37358145,1.0000249456161157
2024-08-21,49009342.76228774,49127477.28330883,1.002410448995288
2024-08-22,49220487.39859147,49359039.827122055,1.0028149341027157
2024-08-23,49056065.26032813,49216419.94610386,1.0032688044775864
